,text,evergreen,kcbert
0,심야영화,0.4625779688358307,0.4970579147338867
1,수련언니,0.4701117277145386,0.5337607860565186
2,펜트하우스,0.48385944962501526,0.5772606134414673
3,연습영상,0.4840587079524994,0.5416489839553833
4,자이언츠,0.4853457510471344,0.5306939482688904
5,셀카듀스,0.4894751310348511,0.5579113960266113
6,사운드트랙,0.49234363436698914,0.5332351922988892
7,동물농장,0.4935997426509857,0.5456913709640503
8,자빱사단,0.4945591986179352,0.5288865566253662
9,다크몬스터,0.49557262659072876,0.5903710722923279
10,라플라스,0.4961462616920471,0.5478871464729309
11,감방생활,0.4966048300266266,0.5265327095985413
12,아웃카운트,0.49887388944625854,0.5721348524093628
13,대면팬싸,0.5018633604049683,0.5347779393196106
14,기습공격,0.5041342377662659,0.5310620069503784
15,수지서현,0.504942774772644,0.553722083568573
16,안무영상,0.5057054162025452,0.5403270721435547
17,쫀아에용,0.5063840746879578,0.5501387119293213
18,안경에이스,0.5072346925735474,0.544675350189209
19,프리허그,0.507673978805542,0.5410546064376831
20,디저트39,0.5082571506500244,0.6029086709022522
21,아쿠아리움,0.5088865756988525,0.5486500263214111
22,페인킬러,0.5109389424324036,0.5779666304588318
23,원더케이,0.5116381049156189,0.5473743081092834
24,기립박수,0.5138166546821594,0.5389339923858643
25,바다동물,0.5153141021728516,0.5383391380310059
26,파트분배,0.5177568197250366,0.5516481995582581
27,딥상어동,0.5180081129074097,0.5892939567565918
28,자빱티비,0.5187673568725586,0.5586588382720947
29,드레이코,0.5194157361984253,0.5471077561378479
30,일어낫다,0.5196657776832581,0.5255332589149475
31,생일해시,0.520790159702301,0.5477679371833801
32,무사만루,0.5224142670631409,0.5463167428970337
33,아이돌등판,0.5249026417732239,0.5559780597686768
34,개인그림,0.5326194763183594,0.5503033399581909
35,취향겹침표,0.5326836705207825,0.6183703541755676
36,배경화면,0.5344249606132507,0.5472613573074341
37,섬온화님,0.534938395023346,0.6113418340682983
38,투르크메니스탄,0.5412804484367371,0.6465812921524048
39,제이굿즈,0.5416523218154907,0.6024839878082275
40,자컾연성,0.5420288443565369,0.526181161403656
41,취업준비,0.550167977809906,0.566203236579895
42,사법연수원,0.5728464126586914,0.6243205666542053
43,젠더퀴어,0.5809175372123718,0.6170758605003357
44,시스젠더,0.5841476321220398,0.6290565133094788
45,로드스터,0.5895978212356567,0.6123068928718567
46,판타블렛,0.5984541773796082,0.6546785831451416
47,신규확진,0.6056619882583618,0.6381160616874695
48,물고기들,0.6061027646064758,0.618841290473938
49,경멸하나,0.6218315958976746,0.6664122939109802
50,뮤직뱅크,0.637373685836792,0.6781757473945618
51,연성문장,0.6495571732521057,0.667980968952179
52,뉴스원샷,0.6556970477104187,0.6845786571502686
53,전공공부,0.6623783111572266,0.6756085157394409
54,불우이웃,0.6759645938873291,0.6938137412071228
55,헬로헬로,0.7190792560577393,0.740476667881012
56,느낌표느낌표,0.7248523831367493,0.746477484703064
57,스타뉴스,0.7473242282867432,0.759159505367279
58,박지훈X,0.7496379613876343,0.7734622359275818
59,헤럴드POP,0.7497595548629761,0.7967573404312134
60,군수송기,0.7520723342895508,0.7733971476554871
61,불로장생,0.7666922211647034,0.7715784311294556
62,경멸신한,0.7831753492355347,0.8243247866630554
63,이글읽고난다음,0.8003332614898682,0.8103832602500916
64,생일너무너무,0.8167352676391602,0.8412135243415833
65,모닝커피,0.8372936844825745,0.8492183685302734
66,북극바다,0.8504645228385925,0.8571523427963257
67,반달모양,0.8678324818611145,0.8717240691184998
68,철인3종경기,0.8739036321640015,0.8911072015762329
69,가정했을때,0.8855156898498535,0.8911519646644592
70,전과목A,0.8891936540603638,0.9021777510643005
71,총공총공,0.8892039060592651,0.8954535126686096
72,푸른비늘,0.9075747728347778,0.9188167452812195
73,맛집여행,0.9154626727104187,0.9256080985069275
74,스물두번째생일,0.9283008575439453,0.9339860081672668
75,로또사서,0.9773945212364197,0.9824526906013489
76,강다니엘,,0.5713340640068054
77,기레기들,,0.5007337331771851
